day,arm,period,universe,ticks,trades,gross_pnl,modeled_cost,net_pnl,net_pct,equity_start,equity_end,halted,day_stop,session_close
2026-04-17,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0192,0.0428,-0.0236,0.0448,42.8112,42.8304,False,False,16:00
2026-04-20,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,0.0526,0.0214,0.0312,0.1228,42.8304,42.883,False,False,16:00
2026-04-21,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1294,0.0428,-0.1722,-0.3018,42.883,42.7536,False,False,16:00
2026-04-22,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.3273,0.0429,0.2844,0.7655,42.7536,43.0809,False,False,16:00
2026-04-23,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2722,0.043,-0.3152,-0.6321,43.0809,42.8086,False,False,16:00
2026-04-24,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.5928,0.0431,0.5497,1.3848,42.8086,43.4014,False,False,16:00
2026-04-27,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1447,0.0434,0.1013,0.3334,43.4014,43.5461,False,False,16:00
2026-04-28,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2597,0.0434,-0.3031,-0.5964,43.5461,43.2864,False,False,16:00
2026-04-29,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.0387,0.0432,-0.0819,-0.0894,43.2864,43.2477,False,False,16:00
2026-04-30,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.437,0.0434,0.3936,1.0107,43.2477,43.6848,False,False,16:00
2026-05-01,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.7015,0.0433,-0.7448,-1.6061,43.6848,42.9832,False,False,16:00
2026-05-04,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,3,-0.4032,0.0639,-0.4671,-0.9378,42.9832,42.5801,False,False,16:00
2026-05-05,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1026,0.0426,0.06,0.2412,42.5801,42.6828,False,False,16:00
2026-05-06,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.3781,0.0429,0.3352,0.8858,42.6828,43.0609,False,False,16:00
2026-05-07,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1662,0.0431,-0.2093,-0.386,43.0609,42.8947,False,False,16:00
2026-05-08,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0914,0.0429,0.0485,0.2133,42.8947,42.9862,False,False,16:00
2026-05-11,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.6919,0.0432,0.6487,1.6094,42.9862,43.678,False,False,16:00
2026-05-12,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.0657,0.0436,-0.1093,-0.1502,43.678,43.6124,False,False,16:00
2026-05-13,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2697,0.0438,0.2259,0.6182,43.6124,43.882,False,False,16:00
2026-05-14,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1553,0.0438,-0.1991,-0.3539,43.882,43.7267,False,False,16:00
2026-05-15,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0975,0.0437,0.0538,0.2232,43.7267,43.8243,False,False,16:00
2026-05-18,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1128,0.0438,-0.1566,-0.2576,43.8243,43.7114,False,False,16:00
2026-05-19,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2976,0.0435,-0.3411,-0.6808,43.7114,43.4138,False,False,16:00
2026-05-20,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.0809,0.0434,-0.1243,-0.1863,43.4138,43.3329,False,False,16:00
2026-05-21,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,3,0.1815,0.065,0.1165,0.4189,43.3329,43.5144,False,False,16:00
2026-05-22,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2785,0.0435,-0.322,-0.64,43.5144,43.2359,False,False,16:00
2026-05-26,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,4,-0.4843,0.0859,-0.5702,-1.1201,43.2359,42.7516,False,False,16:00
2026-05-27,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.0031,0.0428,-0.0459,-0.0073,42.7516,42.7485,False,False,16:00
2026-05-28,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1281,0.0428,0.0853,0.2999,42.7485,42.8767,False,False,16:00
2026-05-29,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1086,0.0428,-0.1514,-0.2535,42.8767,42.768,False,False,16:00
2026-06-01,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2743,0.0429,0.2314,0.6416,42.768,43.0424,False,False,16:00
2026-06-02,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.0376,0.0432,-0.0056,0.0871,43.0424,43.0799,False,False,16:00
2026-06-03,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.1737,0.043,-0.2167,-0.4032,43.0799,42.9062,False,False,16:00
2026-06-04,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.1453,0.043,0.1023,0.3386,42.9062,43.0515,False,False,16:00
2026-06-05,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,43.0515,43.0515,False,False,16:00
2026-06-08,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2394,0.0433,0.1961,0.5558,43.0515,43.2908,False,False,16:00
2026-06-09,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,43.2908,43.2908,False,False,16:00
2026-06-10,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2436,0.0431,-0.2867,-0.5625,43.2908,43.0473,False,False,16:00
2026-06-11,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.2767,0.0432,0.2335,0.6428,43.0473,43.324,False,False,16:00
2026-06-12,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.0737,0.0432,-0.1169,-0.1703,43.324,43.2502,False,False,16:00
2026-06-15,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.0545,0.0432,-0.0977,-0.126,43.2502,43.1957,False,False,16:00
2026-06-16,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.2596,0.0431,-0.3027,-0.6012,43.1957,42.936,False,False,16:00
2026-06-17,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,1,-0.5217,0.0212,-0.5429,-1.2151,42.936,42.4143,False,False,16:00
2026-06-18,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,0.3302,0.0426,0.2876,0.7787,42.4143,42.7446,False,False,16:00
2026-06-22,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.8073,0.0424,-0.8497,-1.8887,42.7446,41.9373,False,False,16:00
2026-06-23,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.339,0.0418,-0.3808,-0.8086,41.9373,41.5982,False,False,16:00
2026-06-24,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,3,-0.888,0.0617,-0.9497,-2.1347,41.5982,40.7102,False,False,16:00
2026-06-25,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,0,0,0,0,0.0,40.7102,40.7102,False,False,16:00
2026-06-26,fast,vault,"SPY,QQQ,AAPL,MSFT,NVDA,TSLA,AMZN,META",13,2,-0.0267,0.0407,-0.0674,-0.0658,40.7102,40.6834,False,False,16:00
